Número,Daños,Descripción,Fecha,Monto
1,Semáforo,Derribado,2021-04-07,29179.03
2,Luminaria,Derribado,2021-04-12,20369.5
3,Chaleco balístico,"Robado, parcialidad",2021-04-19,5000
4,Semáforo y señalética,Derribado,2021-04-07,26922.5
5,Árbol derribado,Derribado,2021-04-14,7169.6
6,Luminaria,Poste cónico derribado,2021-04-14,18395.73
7,Guardapeatón,Ralladuras,2021-04-16,1446.58
8,Radio de Policial,"Robado, parcialidad",2021-04-16,4869.5
9,Árbol,Derribado,2021-04-20,1882.02
10,Señalétca,Dañado al poste de 3 metros,2021-04-20,2319.81
11,Guarnición,Demolición,2021-04-23,16606.94
12,Árbol,Derribado,2021-04-23,4481
13,Poste de Luminaria,Poste cónico derribado de 9 mts.,2021-04-19,27774.94
14,Semáforo de 3 luces,Derribado,2021-04-19,28344.85
15,Daño a vehículo oficial,Desprendimiento de pintura,2021-04-23,200
16,Infraestructura Municipal,Infraestructura Municipal,2021-04-23,1000
17,Tuberías,Infraestructura Municipal,2021-04-30,1500
18,Teléfono Motorola,Robado,2021-04-30,6493
