Número,Daños,Descripción,Fecha,Monto
1,Poste y sus componentes,Derribado,2021-08-17,32464.24
2,Camellón,Demolición,2021-08-17,1327.04
3,Radio,Dañado,2021-08-20,3895.5
4,Poste de alumbrado público,Desprendimiento de pintura,2021-08-11,12997.99
5,Semáforo de pedestal de un cabezal,Raspaduras,2021-08-03,3977.67
6,Gurnición de camellón central,Raspaduras,2021-08-20,7083.68
7,Poste de alumbrado público,Derribado,2021-08-06,27774.94
8,Semaforo de 3 luces,Derribado,2021-08-02,19703.2
9,2 bolardos,Demolición,2021-08-04,6855.79
10,"2 metros de barandal, guarnición ",Demolición,,25719.6
11,Guarnición,Demolición,2021-08-19,3329.8
12,"1 guarda peatón, concreto hidráulico y banqueta",Derribado,2021-08-16,7313.52
13,Bolardo,Demolición,2021-08-25,2381.56
,,,,
,,,,
,,,,
