Número,Daños,Descripción,Fecha,Monto
1,Guardapeaton y asfalto ,Demolición y colocacion ,2021-12-01,3436.43
2,Lámpara ,Daño a los componentes de un poste cónico de 9 metros,2021-12-22,25335.82
3,"Dos árboles de 1.5 metros, y un árbol de 4 metros",Derribados,2021-12-14,8065.8
4,Señalamiento vertical,Derribado,2021-12-14,2319
5,Poste metalico y banderola ,Derribado,2021-12-07,2319.81
6,Guardapeaton de concreto ,Derribado,2021-12-02,3204.27
7,Lampara de Alumbrado Publico,Derribada,2021-12-20,25009.43
8,Mini parklet,Daños estructurales,2021-12-17,69600
9,Bolardo de metal,Derribado,2021-12-16,3170.57
10,Siete guardapeatones y una maceta ,Derribados,2021-12-01,15657.39
11,Luminaria,Derribada,2021-12-17,19263.55
12,Banderola para peatones,Derribada,2021-12-17,2319.81
13,Bolardo de metal ,Derribado,2021-12-20,3857.63
14,Dos bolardos y guarnicion,Demolicion y colocacion ,2021-12-27,15430.51
15,Banderola ,Derribada,2021-12-28,2319.81
