Número,Daños,Descripción,Fecha,Monto
1,Radio portátil,Dañado y robado,2021-07-02,6494
2,Semáforo de 3 luces,Derribado,2021-07-02,24602.69
3,Radio portátil,Dañado y robado,2021-07-02,3895.5
4,Semáforo de 3 luces de 30 centímetros,Derribado,2021-07-02,16205.2
5,Banqueta,Demolición,2021-07-06,24210.2
6,Semáforo de 3 luces,Derribado,2021-06-10,24602.69
7,Daño a espejo lateral de patrulla,Deterioro,2021-07-13,1837
8,Daño a radio,Robado,2021-07-19,4869.5
9,Semáforo,Derribado,2021-07-02,16205.2
10,Vehículo oficial ,Abolladura,2021-07-20,7500
11,Guarnición,Concreto derribado,2021-07-23,3889.18
,,,,
,,,,
,,,,
,,,,
,,,,
