Número,Daños,Descripción,Fecha,Monto
1,Semáforo,Derribado,2021-05-01,24603
2,Banqueta,Demolición de concreto 15x20x25,2021-06-10,5232.33
3,Señalamiento,Demolición de concreto 15x20x40,2021-06-17,2319.81
4,Guarnición,Demolición,2021-06-17,12278.38
5,Radio de comunicación,Robado,2021-06-01,3895.5
6,Cinta asfáltica,Demolición de concreto 15x20x40,2021-06-10,7709.39
7,Bolardo,Demolición de concreto,2021-06-02,13201.31
8,Postes de concreto,Derribado,2021-06-01,25670.75
9,Semáforo,Derribado,2021-06-17,19005.2
10,"Árbol, Palma Canaría",Derribado,2021-06-07,1792.4
11,Semáforo de 3 luces,Derribado,2021-06-07,26082.85
12,"Árbol, Alamillo",Derribado,2021-06-07,4032.9
13,Luminaria,Derribada,2021-06-09,22212.45
14,Semáforo led´s,Derribado,2021-06-09,19564
15,Bolardo metálico,Demolición de concreto,2021-06-18,3427.89
16,Señalética,Derribo de poste,2021-06-24,2319.81
,,,,
,,,,
