Número,Daños,Descripción,Fecha,Monto
1,Guarnición 2 metros,Demolición,2021-11-10,8876.77
2,Poste Cónico Tipo percha,Derribado,2021-11-03,33835.94
3,Guarnición Banquetas,Demolición,2021-11-23,1340.22
4,Luminaria Poste,Derribado,2021-11-03,32849.16
5,Banderola de Nomenclatura de Calle,Derribado,2021-11-23,2268.38
6,Señalamiento Vertical y Postes de 2x2,Derribado,2021-11-16,2319.81
7,Luminaria,Dañada en su base,2021-11-04,7314.8
8,Guarnición,Demolición,2021-11-30,1888.98
9,Poste Cónico de 3.5 Metros,Derribado,2021-11-30,11009.11
10,5 Bolardos de Metal,Demolición,2021-11-22,22175.63
11,Árbol ,Derribado,2021-11-16,8688
12,2 Guardapeatones de Fierro,Derribados,2021-11-22,7715.25
13,Poste de 11 Metros y componentes,Derribado,2021-11-23,28800.22
14,Poste de Luminaria Cónico circular 8 metros de altura,Derribado,2021-11-22,23708.66
15,Semáforo,Derribado,2021-11-30,49120.96
16,Luminaria,Derribada,2021-11-25,25709
17,Guarnición y Guardapeaton,Derribado,2021-11-29,3857.63
