Número,Daños,Descripción,Fecha,Monto
1,Fantasmas metálicos negros con reflejante amarillo,Derribado,2021-10-01,6855.79
2,Bolardos y concreto hidráulico,Derribado,2021-10-01,7333.39
3,Banderola,Daño a los componentes de un poste de 9 metros,2021-10-05,2853.41
4,Lámpara de Alumbrado Público ,Daño a los componentes de un poste de 9 metros,2021-10-28,19181.95
5,Lámpara de Alumbrado Público ,Daño a los componentes de un poste de 9 metros,2021-10-29,7314.8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
