Número,Daños,Descripción,Fecha,Monto
1,Cesto de Basura,Deteriorado,2022-04-07,2248,,,,,,,,,,,,,,,,,,,,,
2,Poste Metálico,Derribado,2022-04-04,26678.17,,,,,,,,,,,,,,,,,,,,,
3,Banderola,Derribado,2022-04-01,2319.81,,,,,,,,,,,,,,,,,,,,,
4,Bolardo,Derribado,2022-04-08,3315.78,,,,,,,,,,,,,,,,,,,,,
5,Luminaria,Derribada,2022-04-08,14838.7,,,,,,,,,,,,,,,,,,,,,
6,Luminaria,Derribada,2022-04-11,21218.85,,,,,,,,,,,,,,,,,,,,,
7,Semáforo,Deteriorado en su base,2022-04-26,8973.37,,,,,,,,,,,,,,,,,,,,,
8,Semáforo,Derribado,2022-04-22,18705.2,,,,,,,,,,,,,,,,,,,,,
9,Guarnición,Dañado en su estructura,2022-04-27,1199.76,,,,,,,,,,,,,,,,,,,,,
10,Semáforo Led,Derribado,2022-04-22,25813.67,,,,,,,,,,,,,,,,,,,,,
11,Árbol,Derribado,2022-04-18,4811,,,,,,,,,,,,,,,,,,,,,
12,Poste de Alumbrado Público,Derribado,2022-04-20,25527.27,,,,,,,,,,,,,,,,,,,,,
13,Control de Semaforos,Deteriorado,2022-04-21,7826.72,,,,,,,,,,,,,,,,,,,,,
14,Guarnición y Árbol,Derribados,2022-04-22,4811,,,,,,,,,,,,,,,,,,,,,
15,Poste de Alumbrado Público,Derribado,2022-04-22,33457.66,,,,,,,,,,,,,,,,,,,,,
16,Poste de Alumbrado Público,Derribado,2022-04-26,27109.83
