Número,Daños,Descripción,Fecha,Monto,,,
1,Guarnición,Demolición de Guarnición,2022-01-26,1760.43,,,
2,Poste de 9 Metros y 2 Lámparas,Derribadas,2022-01-13,29445.87,,,
3,2 Cabezales de Luminaria,Derribados,2022-01-31,19498.06,,,
4,Estructura Metálica,Demolición de Banqueta,2022-01-14,15930.27,,,
5,Guarnición,Demolición de Guarnición,2022-01-31,4282.08,,,
6,Señalamiento,Derribado,2022-01-31,2200,,,
7,Guarnición de 3 metros,Demolición de Guarnición,2022-01-20,935.56,,,
8,Muro de Contención,Demolición de Concreto,2022-01-05,3809.65,,,
9,Luminaria,Derribada,2022-01-27,29380.1,,,
10,Poste de Metal,Rayaduras de pintura,2022-01-07,300,,,
11,Guarnición y Banqueta,Demolición de Concreto,2022-01-03,3006.04,,,
12,Poste de 9 Metros,Derribada,2022-01-24,26079.73,,,
13,Barra Metálica de Camellón Central,Derribada,2022-01-14,8729.61,,,
14,Luminaria,Desprendimiento de Cables,2022-01-13,3907.03,,, 
