Número,Daños,Descripción,Fecha,Monto
1,Árbol,Derribado,2022-02-02,7697.60
2,Luminaria,Derribado,2022-02-22,26450.59
3,Semáforo de 3 Luces Led´s de 30 centímetros,Derribado,2022-02-22,48511.70
4,3 Metros  de Guarnición,Derribada,2022-02-17,1170.81
5,Luminaria,Derribada,2022-02-01,23416.96
6,Poste Metálico Cónico de 9 Metros,Derribado,2022-02-08,22496.85
7,Bolardo,Derribado,2022-02-01,3857.63
8,Árbol,Derribado,2022-02-28,4811.00
9,5 árboles,Derribados,2022-02-10,4811.00
10,Bolardo,Derribado,2022-02-01,3857.63
11,Bolardo ,Derribado,2022-02-01,4191.93
12,Luminaria Metálica,Derribada,2022-02-23,24133.45
13,Árbol,Derribado,2022-02-25,12508.60
14,Área Verde,Demolida,2022-02-14,7697.60
15,Guarnición y Concreto,Derribada,2022-02-14,2366.72
