Número,Daños,Descripción,Fecha,Monto
1,Árboles,Derribados,2022-03-22,8962.4
2,Poste de Camara de Seguridad,Derribada,2022-03-15,15428
3,Poste Metálico,Derribado,2022-03-15,31555.78
4,Bote de Basura,Derribados,2022-03-15,3902.83
5,Paradero ,Derribado,2022-03-14,37500.82
6,Guarnición y Árbol,Derribados,2022-03-08,5235.97
7,Paradero de Bicicleta,Derribados,2022-03-15,32184.13
8,Semáforo,Derribado,2022-03-02,63135.93
9,Poste Metálico,Derribado,2022-03-10,34247.79
10,Poste Metetálico,Derribado,2022-03-04,24133.45
11,2 Guardapeatones y una Maceta,Demolición de Concreto y golpes a la meceta,2022-03-08,7715.25
12,Poste de Luz,Derribado,2022-03-10,27941.07
13,3 Bolardos,Demolición,2022-03-08,15477.81
14,Señalética,Doblada su Estructura,2022-03-24,2319.81
15,Guarnición,Demolición de Concreto,2022-03-10,1816.84
16,Guarnición,Demolición de Concreto,2022-03-04,836.95
17,Guardapeatón,Derribado,2022-03-22,2941.48
18,Banderola Metálica,Derribado,2022-03-03,2319.81
19,Guarnición,Demolición,2022-03-14,391.33
20,Señalética,Derribada,2022-03-25,2900
21,Bolardo,Derribado,2022-03-15,3857.63
22,Chaleco Balístico,Deteriorado,2022-03-10,3000
