Número,Daños,Descripción,Fecha,Monto
1,Guardapeatón y Pavimento,Demolición,2022-05-06,9805.23
2,Magueyes y Guarnición,Derribo y Raspaduras,2022-05-06,5802.02
3,Luminaria,Derribada,2022-05-18,10657.80
4,Luminaria,Derribada,2022-05-12,25638.16
5,Guarnición ,Rayadura,2022-05-19,636.20
6,Guarnición de Concreto y Monumento,Derribada,2022-05-18,3076.19
7,Poste de Alumbrado Público,Deterioro en Poste,2022-05-26,10503.95
8,Luminaria,Derribada,2022-05-27,25318.84
9,Bolardo,Derribado,2022-05-20,3076.19
10,Poste de Alumbrado Público,Deterioro en poste,2022-05-20,16461.70
11,Poste de Alumbrado Público,Derribado,2022-05-25,23282.64
