Número,Daños,Descripción,Fecha,Monto
1,Camellón Central,Demolición,13/01/2022,2047.05
2,Señalética,Derribado,13/01/2023,2319.81
3,Muro,Demolición,20/01/2023,42677.99
4, Árbol,Derribado,06/01/2023,4811
5,Guarnición,Derribado,06/01/2023,6370.87
6,Poste,Derribado,28/12/2022,29207.23
7,Poste ,Derribado,10/01/2023,19597.2
8,Poste de Alumbrado Público,Derribado,09/01/2023,21598.32
9,Poste,Derribado,21/12/2022,67895.4
10,Bolardo,Derribado,17/01/2023,4333.7
11,Árbol,Derribado,20/12/2022,4811
12,3 Rieles,Derribados,20/12/2022,2048.69
13,Bolardo,Derribado,20/12/2022,4619.13
14,Guarnición,Demolición,12/01/2023,5818.78
15,Caseta de Periódico,Derribada,27/01/2023,19355.7
16,Bolardo,Derribado,10/01/2023,8949.63
17,Señalética,Derribado,10/01/2023,5455.06
18,Semáforo,Derribado,20/12/2022,18499.71
19,Poste,Derribado,22/12/2022,15409.89
20,Semáforo,´Derribado,23/01/2023,36910.4
21,Bolardo,Derribado,13/01/2023,7697.69
22,Árbol,Derribado,25/01/2023,5187
23,Semáforo,Derribado,20/12/2022,56655.71
24,Banderola,Derribada,25/01/2023,2727.53
25,3 Bolardos,Derribados,25/01/2023,8576.9
26,Árbol,Derribado,03/01/2023,4800.11
27,Contenedor de Basura,Derribado,26/01/2023,10420.28
28,Poste,Derribado,26/01/2023,20808.8
29,Poste de Alumbrado Público,Derribado,11/01/2023,8714.8
30,Árbol,Derribado,11/01/2022,9622
31,Banderola,Derribada,25/01/2023,1544.27
32,Banqueta,Demolición,24/01/2023,698.45
33,Semáforo,Derribado,31/01/2023,29574.15
34,Poste,Derribado,25/01/2023,13969.08
35,Señalética,Derribado,31/01/2023,1544.27
36,Estatúa,Derribada,25/01/2023,15000
