fecha,danos,problema_principal,descripcion,monto
2021-04-07,Semáforo,Derribado,Derribado,29179.03
2021-04-12,Luminaria,Derribado,Derribado,20369.5
2021-04-19,Chaleco balístico,Robado,"Robado, parcialidad",5000
2021-04-07,Semáforo y señalética,Derribado,Derribado,26922.5
2021-04-14,Árbol derribado,Derribado,Derribado,7169.6
2021-04-14,Luminaria,Derribado,Poste cónico derribado,18395.73
2021-04-16,Guardapeatón,Rayado,Ralladuras,1446.58
2021-04-16,Radio de Policial,Robado,"Robado, parcialidad",4869.5
2021-04-20,Árbol,Derribado,Derribado,1882.02
2021-04-20,Señalétca,Dañado,Dañado al poste de 3 metros,2319.8100000000004
2021-04-23,Guarnición,Demolido,Demolición,16606.940000000002
2021-04-23,Árbol,Derribado,Derribado,4481
2021-04-19,Poste de Luminaria,Derribado,Poste cónico derribado de 9 mts.,27774.940000000002
2021-04-19,Semáforo de 3 luces,Derribado,Derribado,28344.85
2021-04-23,Daño a vehículo oficial,Desprendido,Desprendimiento de pintura,200
2021-04-23,Infraestructura Municipal,NA,Infraestructura Municipal,1000
2021-04-30,Tuberías,NA,Infraestructura Municipal,1500
2021-04-30,Teléfono Motorola,Robado,Robado,6493
2021-08-17,Poste y sus componentes,Derribado,Derribado,32464.24
2021-08-17,Camellón,Demolido,Demolición,1327.04
2021-08-20,Radio,Dañado,Dañado,3895.5
2021-08-11,Poste de alumbrado público,Desprendido,Desprendimiento de pintura,12997.99
2021-08-03,Semáforo de pedestal de un cabezal,Raspado,Raspaduras,3977.67
2021-08-20,Gurnición de camellón central,Raspado,Raspaduras,7083.68
2021-08-06,Poste de alumbrado público,Derribado,Derribado,27774.940000000002
2021-08-02,Semaforo de 3 luces,Derribado,Derribado,19703.2
2021-08-04,2 bolardos,Demolido,Demolición,6855.79
NA,"2 metros de barandal, guarnición",Demolido,Demolición,25719.6
2021-08-19,Guarnición,Demolido,Demolición,3329.8
2021-08-16,"1 guarda peatón, concreto hidráulico y banqueta",Derribado,Derribado,7313.52
2021-08-25,Bolardo,Demolido,Demolición,2381.56
2021-12-01,Guardapeaton y asfalto,Demolido,Demolición y colocacion,3436.4300000000003
2021-12-22,Lámpara,Dañado,Daño a los componentes de un poste cónico de 9 metros,25335.82
2021-12-14,"Dos árboles de 1.5 metros, y un árbol de 4 metros",Derribado,Derribados,8065.8
2021-12-14,Señalamiento vertical,Derribado,Derribado,2319
2021-12-07,Poste metalico y banderola,Derribado,Derribado,2319.8100000000004
2021-12-02,Guardapeaton de concreto,Derribado,Derribado,3204.27
2021-12-20,Lampara de Alumbrado Publico,Derribado,Derribada,25009.43
2021-12-17,Mini parklet,Dañado,Daños estructurales,69600
2021-12-16,Bolardo de metal,Derribado,Derribado,3170.57
2021-12-01,Siete guardapeatones y una maceta,Derribado,Derribados,15657.39
2021-12-17,Luminaria,Derribado,Derribada,19263.55
2021-12-17,Banderola para peatones,Derribado,Derribada,2319.8100000000004
2021-12-20,Bolardo de metal,Derribado,Derribado,3857.63
2021-12-27,Dos bolardos y guarnicion,Demolido,Demolicion y colocacion,15430.51
2021-12-28,Banderola,Derribado,Derribada,2319.8100000000004
2021-01-08,Guarnición,Derribado,Derribada,3306
2021-01-12,Luminaria,Derribado,Derribada,17476.75
2021-01-13,Arbusto,Derribado,Derribado en su totalidad,1737.6
2021-01-20,Camellóm central,Derribado,Derribado,2858.57
2021-02-10,Guarda peatón,Retiro,Retiro de Bolardo,2899.71
2021-02-11,Lámpara,Derribado,"1 Poste cónico percha, derribado",27774.940000000002
2021-02-17,Lámpara,Derribado,"1 Poste cónico percha, derribado",27774.940000000002
2021-02-17,Guarnición,Demolido,Demolición,3305.71
2021-02-10,Lámpara,Derribado,"1 Poste cónico percha, derribado",27774.940000000002
2021-02-03,Guarda peatón de metal,Retiro,Retiro de Bolardo,4400.44
2021-02-12,Árbol,Derribado,Derribado,4481
2021-07-02,Radio portátil,Dañado,Dañado y robado,6494
2021-07-02,Semáforo de 3 luces,Derribado,Derribado,24602.69
2021-07-02,Radio portátil,Dañado,Dañado y robado,3895.5
2021-07-02,Semáforo de 3 luces de 30 centímetros,Derribado,Derribado,16205.2
2021-07-06,Banqueta,Demolido,Demolición,24210.2
2021-06-10,Semáforo de 3 luces,Derribado,Derribado,24602.69
2021-07-13,Daño a espejo lateral de patrulla,Deteriorado,Deterioro,1837
2021-07-19,Daño a radio,Robado,Robado,4869.5
2021-07-02,Semáforo,Derribado,Derribado,16205.2
2021-07-20,Vehículo oficial,Abollado,Abolladura,7500
2021-07-23,Guarnición,Derribado,Concreto derribado,3889.18
2021-05-01,Semáforo,Derribado,Derribado,24603
2021-06-10,Banqueta,Demolido,Demolición de concreto 15x20x25,5232.33
